# session_id,valid|invalid,reason
M2_00109,valid,normal LOGIN->VIEW->LOGOUT session
M2_00110,valid,normal LOGIN->VIEW->LOGOUT session
M2_00111,invalid,action after LOGOUT
M2_00112,invalid,missing LOGIN
M2_00113,valid,normal LOGIN->VIEW->LOGOUT session
M2_00114,valid,normal LOGIN->VIEW->LOGOUT session
M2_00115,valid,normal LOGIN->VIEW->LOGOUT session
M2_00116,valid,normal LOGIN->VIEW->LOGOUT session
M2_00117,invalid,action after LOGOUT
M2_00118,valid,normal LOGIN->VIEW->LOGOUT session
M2_00119,valid,normal LOGIN->VIEW->LOGOUT session
M2_00120,invalid,missing LOGIN
M2_00121,valid,normal LOGIN->VIEW->LOGOUT session
M2_00122,valid,normal LOGIN->VIEW->LOGOUT session
M2_00123,valid,normal LOGIN->VIEW->LOGOUT session
M2_00124,valid,normal LOGIN->VIEW->LOGOUT session
M2_00125,valid,normal LOGIN->VIEW->LOGOUT session
M2_00126,valid,normal LOGIN->VIEW->LOGOUT session
M2_00127,valid,normal LOGIN->VIEW->LOGOUT session
M2_00128,invalid,action after LOGOUT
M2_00129,valid,normal LOGIN->VIEW->LOGOUT session
M2_00130,valid,normal LOGIN->VIEW->LOGOUT session
M2_00131,valid,normal LOGIN->VIEW->LOGOUT session
M2_00132,invalid,action after LOGOUT
M2_00133,invalid,action after LOGOUT
M2_00134,valid,normal LOGIN->VIEW->LOGOUT session
M2_00135,valid,normal LOGIN->VIEW->LOGOUT session
M2_00136,invalid,action after LOGOUT
M2_00137,invalid,missing LOGOUT
M2_00138,valid,normal LOGIN->VIEW->LOGOUT session
M2_00139,invalid,action after LOGOUT
M2_00140,valid,normal LOGIN->VIEW->LOGOUT session
M2_00141,valid,normal LOGIN->VIEW->LOGOUT session
M2_00142,valid,normal LOGIN->VIEW->LOGOUT session
M2_00143,valid,normal LOGIN->VIEW->LOGOUT session
M2_00144,invalid,missing LOGOUT
M2_00145,valid,normal LOGIN->VIEW->LOGOUT session
M2_00146,valid,normal LOGIN->VIEW->LOGOUT session
M2_00147,valid,normal LOGIN->VIEW->LOGOUT session
M2_00148,invalid,missing LOGIN
M2_00149,valid,normal LOGIN->VIEW->LOGOUT session
M2_00150,valid,normal LOGIN->VIEW->LOGOUT session
M2_00151,valid,normal LOGIN->VIEW->LOGOUT session
M2_00152,valid,normal LOGIN->VIEW->LOGOUT session
M2_00153,invalid,missing LOGIN
M2_00154,valid,normal LOGIN->VIEW->LOGOUT session
M2_00155,invalid,missing LOGIN
M2_00156,valid,normal LOGIN->VIEW->LOGOUT session
M2_00157,valid,normal LOGIN->VIEW->LOGOUT session
M2_00158,valid,normal LOGIN->VIEW->LOGOUT session
M2_00159,invalid,missing LOGIN
M2_00160,invalid,missing LOGOUT
M2_00161,invalid,missing LOGOUT
M2_00162,invalid,missing LOGIN
M2_00163,valid,normal LOGIN->VIEW->LOGOUT session
M2_00164,valid,normal LOGIN->VIEW->LOGOUT session
M2_00165,valid,normal LOGIN->VIEW->LOGOUT session
M2_00166,valid,normal LOGIN->VIEW->LOGOUT session
M2_00167,valid,normal LOGIN->VIEW->LOGOUT session
M2_00168,valid,normal LOGIN->VIEW->LOGOUT session
M2_00169,valid,normal LOGIN->VIEW->LOGOUT session
M2_00170,invalid,action after LOGOUT
M2_00171,valid,normal LOGIN->VIEW->LOGOUT session
M2_00172,valid,normal LOGIN->VIEW->LOGOUT session
M2_00173,valid,normal LOGIN->VIEW->LOGOUT session
M2_00174,valid,normal LOGIN->VIEW->LOGOUT session
M2_00175,valid,normal LOGIN->VIEW->LOGOUT session
M2_00176,valid,normal LOGIN->VIEW->LOGOUT session
M2_00177,valid,normal LOGIN->VIEW->LOGOUT session
M2_00178,invalid,missing LOGOUT
M2_00179,valid,normal LOGIN->VIEW->LOGOUT session
M2_00180,invalid,action after LOGOUT
M2_00181,valid,normal LOGIN->VIEW->LOGOUT session
M2_00182,invalid,missing LOGOUT
M2_00183,valid,normal LOGIN->VIEW->LOGOUT session
M2_00184,valid,normal LOGIN->VIEW->LOGOUT session
M2_00185,valid,normal LOGIN->VIEW->LOGOUT session
M2_00186,valid,normal LOGIN->VIEW->LOGOUT session
M2_00187,invalid,missing LOGIN
M2_00188,invalid,missing LOGOUT
M2_00189,valid,normal LOGIN->VIEW->LOGOUT session
M2_00190,valid,normal LOGIN->VIEW->LOGOUT session
M2_00191,valid,normal LOGIN->VIEW->LOGOUT session
M2_00192,valid,normal LOGIN->VIEW->LOGOUT session
M2_00193,valid,normal LOGIN->VIEW->LOGOUT session
M2_00194,valid,normal LOGIN->VIEW->LOGOUT session
M2_00195,invalid,action after LOGOUT
M2_00196,valid,normal LOGIN->VIEW->LOGOUT session
M2_00197,valid,normal LOGIN->VIEW->LOGOUT session
M2_00198,invalid,missing LOGOUT
M2_00199,valid,normal LOGIN->VIEW->LOGOUT session
M2_00200,invalid,action after LOGOUT
M2_00201,valid,normal LOGIN->VIEW->LOGOUT session
M2_00202,valid,normal LOGIN->VIEW->LOGOUT session
M2_00203,valid,normal LOGIN->VIEW->LOGOUT session
M2_00204,invalid,action after LOGOUT
M2_00205,valid,normal LOGIN->VIEW->LOGOUT session
M2_00206,valid,normal LOGIN->VIEW->LOGOUT session
M2_00207,invalid,missing LOGOUT
M2_00208,valid,normal LOGIN->VIEW->LOGOUT session
M2_00209,valid,normal LOGIN->VIEW->LOGOUT session
M2_00210,invalid,missing LOGIN
M2_00211,valid,normal LOGIN->VIEW->LOGOUT session
M2_00212,valid,normal LOGIN->VIEW->LOGOUT session
M2_00213,invalid,missing LOGOUT
M2_00214,valid,normal LOGIN->VIEW->LOGOUT session
M2_00215,valid,normal LOGIN->VIEW->LOGOUT session
M2_00216,valid,normal LOGIN->VIEW->LOGOUT session
M2_00217,valid,normal LOGIN->VIEW->LOGOUT session
M2_00218,valid,normal LOGIN->VIEW->LOGOUT session
M2_00219,valid,normal LOGIN->VIEW->LOGOUT session
M2_00220,valid,normal LOGIN->VIEW->LOGOUT session
M2_00221,valid,normal LOGIN->VIEW->LOGOUT session
M2_00222,valid,normal LOGIN->VIEW->LOGOUT session
M2_00223,valid,normal LOGIN->VIEW->LOGOUT session
M2_00224,invalid,action after LOGOUT
M2_00225,invalid,missing LOGIN
M2_00226,valid,normal LOGIN->VIEW->LOGOUT session
M2_00227,valid,normal LOGIN->VIEW->LOGOUT session
M2_00228,valid,normal LOGIN->VIEW->LOGOUT session
M2_00229,valid,normal LOGIN->VIEW->LOGOUT session
M2_00230,valid,normal LOGIN->VIEW->LOGOUT session
M2_00231,valid,normal LOGIN->VIEW->LOGOUT session
M2_00232,valid,normal LOGIN->VIEW->LOGOUT session
M2_00233,valid,normal LOGIN->VIEW->LOGOUT session
M2_00234,valid,normal LOGIN->VIEW->LOGOUT session
M2_00235,valid,normal LOGIN->VIEW->LOGOUT session
M2_00236,valid,normal LOGIN->VIEW->LOGOUT session
M2_00237,valid,normal LOGIN->VIEW->LOGOUT session
M2_00238,valid,normal LOGIN->VIEW->LOGOUT session
M2_00239,valid,normal LOGIN->VIEW->LOGOUT session
M2_00240,valid,normal LOGIN->VIEW->LOGOUT session
M2_00241,valid,normal LOGIN->VIEW->LOGOUT session
M2_00242,valid,normal LOGIN->VIEW->LOGOUT session
M2_00243,valid,normal LOGIN->VIEW->LOGOUT session
M2_00244,valid,normal LOGIN->VIEW->LOGOUT session
M2_00245,valid,normal LOGIN->VIEW->LOGOUT session
M2_00246,valid,normal LOGIN->VIEW->LOGOUT session
M2_00247,valid,normal LOGIN->VIEW->LOGOUT session
M2_00248,invalid,action after LOGOUT
M2_00249,invalid,missing LOGIN
M2_00250,valid,normal LOGIN->VIEW->LOGOUT session
M2_00251,invalid,missing LOGOUT
M2_00252,invalid,missing LOGOUT
M2_00253,invalid,action after LOGOUT
M2_00254,valid,normal LOGIN->VIEW->LOGOUT session
M2_00255,valid,normal LOGIN->VIEW->LOGOUT session
M2_00256,valid,normal LOGIN->VIEW->LOGOUT session
M2_00257,invalid,action after LOGOUT
M2_00258,valid,normal LOGIN->VIEW->LOGOUT session
M2_00259,valid,normal LOGIN->VIEW->LOGOUT session
M2_00260,invalid,missing LOGOUT
M2_00261,invalid,action after LOGOUT
M2_00262,valid,normal LOGIN->VIEW->LOGOUT session
M2_00263,valid,normal LOGIN->VIEW->LOGOUT session
M2_00264,valid,normal LOGIN->VIEW->LOGOUT session
M2_00265,invalid,missing LOGOUT
M2_00266,invalid,missing LOGIN
M2_00267,invalid,action after LOGOUT
M2_00268,invalid,action after LOGOUT
M2_00269,valid,normal LOGIN->VIEW->LOGOUT session
M2_00270,valid,normal LOGIN->VIEW->LOGOUT session
M2_00271,valid,normal LOGIN->VIEW->LOGOUT session
M2_00272,valid,normal LOGIN->VIEW->LOGOUT session
M2_00273,valid,normal LOGIN->VIEW->LOGOUT session
M2_00274,invalid,missing LOGOUT
M2_00275,valid,normal LOGIN->VIEW->LOGOUT session
M2_00276,valid,normal LOGIN->VIEW->LOGOUT session
M2_00277,valid,normal LOGIN->VIEW->LOGOUT session
M2_00278,valid,normal LOGIN->VIEW->LOGOUT session
M2_00279,valid,normal LOGIN->VIEW->LOGOUT session
M2_00280,valid,normal LOGIN->VIEW->LOGOUT session
M2_00281,invalid,missing LOGIN
M2_00282,valid,normal LOGIN->VIEW->LOGOUT session
M2_00283,valid,normal LOGIN->VIEW->LOGOUT session
M2_00284,valid,normal LOGIN->VIEW->LOGOUT session
M2_00285,valid,normal LOGIN->VIEW->LOGOUT session
M2_00286,valid,normal LOGIN->VIEW->LOGOUT session
M2_00287,valid,normal LOGIN->VIEW->LOGOUT session
M2_00288,valid,normal LOGIN->VIEW->LOGOUT session
M2_00289,valid,normal LOGIN->VIEW->LOGOUT session
M2_00290,valid,normal LOGIN->VIEW->LOGOUT session
M2_00291,valid,normal LOGIN->VIEW->LOGOUT session
M2_00292,valid,normal LOGIN->VIEW->LOGOUT session
M2_00293,valid,normal LOGIN->VIEW->LOGOUT session
M2_00294,valid,normal LOGIN->VIEW->LOGOUT session
M2_00295,valid,normal LOGIN->VIEW->LOGOUT session
M2_00296,valid,normal LOGIN->VIEW->LOGOUT session
M2_00297,valid,normal LOGIN->VIEW->LOGOUT session
M2_00298,valid,normal LOGIN->VIEW->LOGOUT session
M2_00299,invalid,missing LOGIN
M2_00300,valid,normal LOGIN->VIEW->LOGOUT session
M2_00301,valid,normal LOGIN->VIEW->LOGOUT session
M2_00302,valid,normal LOGIN->VIEW->LOGOUT session
M2_00303,valid,normal LOGIN->VIEW->LOGOUT session
M2_00304,valid,normal LOGIN->VIEW->LOGOUT session
M2_00305,valid,normal LOGIN->VIEW->LOGOUT session
M2_00306,invalid,missing LOGOUT
M2_00307,valid,normal LOGIN->VIEW->LOGOUT session
M2_00308,valid,normal LOGIN->VIEW->LOGOUT session
M2_00309,valid,normal LOGIN->VIEW->LOGOUT session
M2_00310,valid,normal LOGIN->VIEW->LOGOUT session
M2_00311,valid,normal LOGIN->VIEW->LOGOUT session
M2_00312,valid,normal LOGIN->VIEW->LOGOUT session
M2_00313,valid,normal LOGIN->VIEW->LOGOUT session
M2_00314,valid,normal LOGIN->VIEW->LOGOUT session
M2_00315,valid,normal LOGIN->VIEW->LOGOUT session
M2_00316,valid,normal LOGIN->VIEW->LOGOUT session
M2_00317,valid,normal LOGIN->VIEW->LOGOUT session
M2_00318,invalid,missing LOGIN
M2_00319,invalid,missing LOGIN
M2_00320,valid,normal LOGIN->VIEW->LOGOUT session
M2_00321,valid,normal LOGIN->VIEW->LOGOUT session
M2_00322,invalid,missing LOGIN
M2_00323,valid,normal LOGIN->VIEW->LOGOUT session
M2_00324,valid,normal LOGIN->VIEW->LOGOUT session
M2_00325,valid,normal LOGIN->VIEW->LOGOUT session
M2_00326,valid,normal LOGIN->VIEW->LOGOUT session
M2_00327,valid,normal LOGIN->VIEW->LOGOUT session
M2_00328,valid,normal LOGIN->VIEW->LOGOUT session
M2_00329,valid,normal LOGIN->VIEW->LOGOUT session
M2_00330,valid,normal LOGIN->VIEW->LOGOUT session
M2_00331,valid,normal LOGIN->VIEW->LOGOUT session
M2_00332,valid,normal LOGIN->VIEW->LOGOUT session
M2_00333,valid,normal LOGIN->VIEW->LOGOUT session
M2_00334,valid,normal LOGIN->VIEW->LOGOUT session
M2_00335,valid,normal LOGIN->VIEW->LOGOUT session
M2_00336,valid,normal LOGIN->VIEW->LOGOUT session
M2_00337,valid,normal LOGIN->VIEW->LOGOUT session
M2_00338,valid,normal LOGIN->VIEW->LOGOUT session
M2_00339,valid,normal LOGIN->VIEW->LOGOUT session
M2_00340,valid,normal LOGIN->VIEW->LOGOUT session
M2_00341,valid,normal LOGIN->VIEW->LOGOUT session
M2_00342,valid,normal LOGIN->VIEW->LOGOUT session
M2_00343,valid,normal LOGIN->VIEW->LOGOUT session
M2_00344,valid,normal LOGIN->VIEW->LOGOUT session
M2_00345,valid,normal LOGIN->VIEW->LOGOUT session
M2_00346,invalid,missing LOGOUT
M2_00347,valid,normal LOGIN->VIEW->LOGOUT session
M2_00348,valid,normal LOGIN->VIEW->LOGOUT session
M2_00349,valid,normal LOGIN->VIEW->LOGOUT session
M2_00350,invalid,action after LOGOUT
M2_00351,valid,normal LOGIN->VIEW->LOGOUT session
M2_00352,invalid,action after LOGOUT
M2_00353,valid,normal LOGIN->VIEW->LOGOUT session
M2_00354,valid,normal LOGIN->VIEW->LOGOUT session
M2_00355,valid,normal LOGIN->VIEW->LOGOUT session
M2_00356,valid,normal LOGIN->VIEW->LOGOUT session
M2_00357,invalid,missing LOGOUT
M2_00358,valid,normal LOGIN->VIEW->LOGOUT session
M2_00359,valid,normal LOGIN->VIEW->LOGOUT session
M2_00360,valid,normal LOGIN->VIEW->LOGOUT session
M2_00361,invalid,missing LOGIN
M2_00362,valid,normal LOGIN->VIEW->LOGOUT session
M2_00363,valid,normal LOGIN->VIEW->LOGOUT session
M2_00364,valid,normal LOGIN->VIEW->LOGOUT session
M2_00365,valid,normal LOGIN->VIEW->LOGOUT session
M2_00366,invalid,missing LOGOUT
M2_00367,invalid,missing LOGIN
M2_00368,invalid,missing LOGIN
M2_00369,valid,normal LOGIN->VIEW->LOGOUT session
M2_00370,valid,normal LOGIN->VIEW->LOGOUT session
M2_00371,invalid,missing LOGOUT
M2_00372,valid,normal LOGIN->VIEW->LOGOUT session
M2_00373,invalid,missing LOGOUT
M2_00374,valid,normal LOGIN->VIEW->LOGOUT session
M2_00375,invalid,action after LOGOUT
M2_00376,valid,normal LOGIN->VIEW->LOGOUT session
M2_00377,valid,normal LOGIN->VIEW->LOGOUT session
M2_00378,valid,normal LOGIN->VIEW->LOGOUT session
M2_00379,valid,normal LOGIN->VIEW->LOGOUT session
M2_00380,valid,normal LOGIN->VIEW->LOGOUT session
M2_00381,invalid,action after LOGOUT
M2_00382,invalid,missing LOGIN
M2_00383,valid,normal LOGIN->VIEW->LOGOUT session
M2_00384,valid,normal LOGIN->VIEW->LOGOUT session
M2_00385,invalid,missing LOGIN
M2_00386,valid,normal LOGIN->VIEW->LOGOUT session
M2_00387,valid,normal LOGIN->VIEW->LOGOUT session
M2_00388,valid,normal LOGIN->VIEW->LOGOUT session
M2_00389,valid,normal LOGIN->VIEW->LOGOUT session
M2_00390,invalid,missing LOGOUT
M2_00391,valid,normal LOGIN->VIEW->LOGOUT session
M2_00392,valid,normal LOGIN->VIEW->LOGOUT session
M2_00393,valid,normal LOGIN->VIEW->LOGOUT session
M2_00394,valid,normal LOGIN->VIEW->LOGOUT session
M2_00395,invalid,missing LOGOUT
M2_00396,valid,normal LOGIN->VIEW->LOGOUT session
M2_00397,invalid,missing LOGIN
M2_00398,valid,normal LOGIN->VIEW->LOGOUT session
M2_00399,invalid,missing LOGIN
M2_00400,valid,normal LOGIN->VIEW->LOGOUT session
M2_00401,valid,normal LOGIN->VIEW->LOGOUT session
M2_00402,valid,normal LOGIN->VIEW->LOGOUT session
M2_00403,valid,normal LOGIN->VIEW->LOGOUT session
M2_00404,invalid,action after LOGOUT
M2_00405,valid,normal LOGIN->VIEW->LOGOUT session
M2_00406,valid,normal LOGIN->VIEW->LOGOUT session
M2_00407,valid,normal LOGIN->VIEW->LOGOUT session
M2_00408,valid,normal LOGIN->VIEW->LOGOUT session
M2_00409,invalid,missing LOGIN
M2_00410,valid,normal LOGIN->VIEW->LOGOUT session
M2_00411,valid,normal LOGIN->VIEW->LOGOUT session
M2_00412,valid,normal LOGIN->VIEW->LOGOUT session
M2_00413,valid,normal LOGIN->VIEW->LOGOUT session
M2_00414,valid,normal LOGIN->VIEW->LOGOUT session
M2_00415,valid,normal LOGIN->VIEW->LOGOUT session
M2_00416,valid,normal LOGIN->VIEW->LOGOUT session
M2_00417,invalid,missing LOGOUT
M2_00418,valid,normal LOGIN->VIEW->LOGOUT session
M2_00419,invalid,missing LOGIN
M2_00420,invalid,action after LOGOUT
M2_00421,valid,normal LOGIN->VIEW->LOGOUT session
M2_00422,valid,normal LOGIN->VIEW->LOGOUT session
M2_00423,valid,normal LOGIN->VIEW->LOGOUT session
M2_00424,valid,normal LOGIN->VIEW->LOGOUT session
M2_00425,valid,normal LOGIN->VIEW->LOGOUT session
M2_00426,invalid,action after LOGOUT
M2_00427,valid,normal LOGIN->VIEW->LOGOUT session
M2_00428,invalid,missing LOGIN
M2_00429,valid,normal LOGIN->VIEW->LOGOUT session
M2_00430,invalid,missing LOGOUT
M2_00431,valid,normal LOGIN->VIEW->LOGOUT session
M2_00432,valid,normal LOGIN->VIEW->LOGOUT session
M2_00433,invalid,action after LOGOUT
M2_00434,invalid,missing LOGIN
M2_00435,valid,normal LOGIN->VIEW->LOGOUT session
M2_00436,valid,normal LOGIN->VIEW->LOGOUT session
M2_00437,valid,normal LOGIN->VIEW->LOGOUT session
M2_00438,valid,normal LOGIN->VIEW->LOGOUT session
M2_00439,valid,normal LOGIN->VIEW->LOGOUT session
M2_00440,valid,normal LOGIN->VIEW->LOGOUT session
M2_00441,valid,normal LOGIN->VIEW->LOGOUT session
M2_00442,valid,normal LOGIN->VIEW->LOGOUT session
M2_00443,invalid,action after LOGOUT
M2_00444,valid,normal LOGIN->VIEW->LOGOUT session
M2_00445,valid,normal LOGIN->VIEW->LOGOUT session
M2_00446,valid,normal LOGIN->VIEW->LOGOUT session
M2_00447,invalid,missing LOGIN
M2_00448,valid,normal LOGIN->VIEW->LOGOUT session
M2_00449,valid,normal LOGIN->VIEW->LOGOUT session
M2_00450,valid,normal LOGIN->VIEW->LOGOUT session
M2_00451,valid,normal LOGIN->VIEW->LOGOUT session
M2_00452,valid,normal LOGIN->VIEW->LOGOUT session
M2_00453,valid,normal LOGIN->VIEW->LOGOUT session
M2_00454,valid,normal LOGIN->VIEW->LOGOUT session
M2_00455,invalid,missing LOGIN
M2_00456,valid,normal LOGIN->VIEW->LOGOUT session
M2_00457,invalid,missing LOGOUT
M2_00458,valid,normal LOGIN->VIEW->LOGOUT session
M2_00459,invalid,action after LOGOUT
M2_00460,invalid,action after LOGOUT
M2_00461,valid,normal LOGIN->VIEW->LOGOUT session
M2_00462,invalid,missing LOGOUT
M2_00463,valid,normal LOGIN->VIEW->LOGOUT session
M2_00464,valid,normal LOGIN->VIEW->LOGOUT session
M2_00465,valid,normal LOGIN->VIEW->LOGOUT session
M2_00466,valid,normal LOGIN->VIEW->LOGOUT session
M2_00467,valid,normal LOGIN->VIEW->LOGOUT session
M2_00468,valid,normal LOGIN->VIEW->LOGOUT session
M2_00469,valid,normal LOGIN->VIEW->LOGOUT session
M2_00470,valid,normal LOGIN->VIEW->LOGOUT session
M2_00471,valid,normal LOGIN->VIEW->LOGOUT session
M2_00472,valid,normal LOGIN->VIEW->LOGOUT session
M2_00473,valid,normal LOGIN->VIEW->LOGOUT session
M2_00474,valid,normal LOGIN->VIEW->LOGOUT session
M2_00475,invalid,action after LOGOUT
M2_00476,valid,normal LOGIN->VIEW->LOGOUT session
M2_00477,invalid,missing LOGOUT
M2_00478,invalid,missing LOGIN
M2_00479,valid,normal LOGIN->VIEW->LOGOUT session
M2_00480,valid,normal LOGIN->VIEW->LOGOUT session
M2_00481,invalid,missing LOGOUT
M2_00482,invalid,missing LOGIN
M2_00483,valid,normal LOGIN->VIEW->LOGOUT session
M2_00484,valid,normal LOGIN->VIEW->LOGOUT session
M2_00485,valid,normal LOGIN->VIEW->LOGOUT session
M2_00486,valid,normal LOGIN->VIEW->LOGOUT session
M2_00487,invalid,missing LOGOUT
M2_00488,valid,normal LOGIN->VIEW->LOGOUT session
M2_00489,valid,normal LOGIN->VIEW->LOGOUT session
M2_00490,valid,normal LOGIN->VIEW->LOGOUT session
M2_00491,invalid,missing LOGIN
M2_00492,invalid,missing LOGIN
M2_00493,valid,normal LOGIN->VIEW->LOGOUT session
M2_00494,valid,normal LOGIN->VIEW->LOGOUT session
M2_00495,valid,normal LOGIN->VIEW->LOGOUT session
M2_00496,valid,normal LOGIN->VIEW->LOGOUT session
M2_00497,valid,normal LOGIN->VIEW->LOGOUT session
M2_00498,invalid,action after LOGOUT
M2_00499,invalid,missing LOGOUT
M2_00500,valid,normal LOGIN->VIEW->LOGOUT session
M2_00501,invalid,missing LOGIN
M2_00502,valid,normal LOGIN->VIEW->LOGOUT session
M2_00503,valid,normal LOGIN->VIEW->LOGOUT session
M2_00504,invalid,missing LOGIN
M2_00505,valid,normal LOGIN->VIEW->LOGOUT session
M2_00506,valid,normal LOGIN->VIEW->LOGOUT session
M2_00507,valid,normal LOGIN->VIEW->LOGOUT session
M2_00508,valid,normal LOGIN->VIEW->LOGOUT session
M2_00509,valid,normal LOGIN->VIEW->LOGOUT session
M2_00510,valid,normal LOGIN->VIEW->LOGOUT session
M2_00511,valid,normal LOGIN->VIEW->LOGOUT session
M2_00512,valid,normal LOGIN->VIEW->LOGOUT session
M2_00513,invalid,missing LOGOUT
M2_00514,valid,normal LOGIN->VIEW->LOGOUT session
M2_00515,valid,normal LOGIN->VIEW->LOGOUT session
M2_00516,invalid,missing LOGIN
